fold,variant,feature,gain,weight,cover,gain_rank,used
2023,ko_specialist_no_ml,recent_form_avg_fight_time_diff,7.3295159339904785,3.0,156.8050994873047,18,True
2023,ko_specialist_no_ml,recent_form_avg_opponent_elo_diff,0.0,0.0,0.0,107,False
2023,ko_specialist_no_ml,recent_form_best_win_elo_diff,0.0,0.0,0.0,108,False
2023,ko_specialist_no_ml,recent_form_ctrl_against_per_min_diff,0.0,0.0,0.0,109,False
2023,ko_specialist_no_ml,recent_form_ctrl_per_min_diff,6.322114944458008,11.0,154.41937255859375,29,True
2023,ko_specialist_no_ml,recent_form_days_since_last_fight_diff,0.0,0.0,0.0,110,False
2023,ko_specialist_no_ml,recent_form_decision_loss_rate_diff,4.650967597961426,1.0,151.66436767578125,62,True
2023,ko_specialist_no_ml,recent_form_decision_win_rate_diff,5.000133514404297,3.0,155.1219940185547,56,True
2023,ko_specialist_no_ml,recent_form_elo_diff,0.0,0.0,0.0,111,False
2023,ko_specialist_no_ml,recent_form_fights_diff,0.0,0.0,0.0,112,False
2023,ko_specialist_no_ml,recent_form_finish_loss_rate_diff,6.3098249435424805,4.0,157.60269165039062,30,True
2023,ko_specialist_no_ml,recent_form_finish_rate_diff,0.0,0.0,0.0,113,False
2023,ko_specialist_no_ml,recent_form_kd_absorbed_avg_diff,0.0,0.0,0.0,114,False
2023,ko_specialist_no_ml,recent_form_kd_avg_diff,7.422883033752441,15.0,155.14639282226562,17,True
2023,ko_specialist_no_ml,recent_form_ko_rate_diff,6.546133041381836,9.0,155.6811065673828,26,True
2023,ko_specialist_no_ml,recent_form_loss_streak_diff,0.0,0.0,0.0,115,False
2023,ko_specialist_no_ml,recent_form_losses_diff,0.0,0.0,0.0,116,False
2023,ko_specialist_no_ml,recent_form_recent_avg_fight_time_diff,0.0,0.0,0.0,117,False
2023,ko_specialist_no_ml,recent_form_recent_finish_rate_diff,0.0,0.0,0.0,118,False
2023,ko_specialist_no_ml,recent_form_recent_sapm_diff,6.445766448974609,9.0,154.76373291015625,27,True
2023,ko_specialist_no_ml,recent_form_recent_splm_diff,5.274003028869629,2.0,153.5631103515625,50,True
2023,ko_specialist_no_ml,recent_form_recent_td_avg_diff,0.0,0.0,0.0,119,False
2023,ko_specialist_no_ml,recent_form_recent_win_pct_diff,0.0,0.0,0.0,120,False
2023,ko_specialist_no_ml,recent_form_sapm_diff,0.0,0.0,0.0,121,False
2023,ko_specialist_no_ml,recent_form_splm_diff,4.789636611938477,4.0,153.5904083251953,60,True
2023,ko_specialist_no_ml,recent_form_str_acc_diff,0.0,0.0,0.0,122,False
2023,ko_specialist_no_ml,recent_form_str_def_diff,0.0,0.0,0.0,123,False
2023,ko_specialist_no_ml,recent_form_sub_avg_diff,5.9142165184021,2.0,150.82398986816406,41,True
2023,ko_specialist_no_ml,recent_form_sub_win_rate_diff,6.197815895080566,8.0,155.3089141845703,32,True
2023,ko_specialist_no_ml,recent_form_td_acc_diff,5.859922885894775,2.0,153.88308715820312,43,True
