logit_threshold,price_edge_threshold,fold,bets,fight_coverage,hit_rate,mean_model_p,mean_raw_p,calibration_gap,mean_price_edge,mean_signed_logit_residual,mean_model_implied_ev_margin,cards,bets_per_card
0.2,0.075,2022,0,0.0,,,,,,,,0,
0.2,0.075,2023,0,0.0,,,,,,,,0,
0.2,0.075,2024,0,0.0,,,,,,,,0,
0.2,0.1,2021,0,0.0,,,,,,,,0,
0.2,0.1,2022,0,0.0,,,,,,,,0,
0.2,0.1,2023,0,0.0,,,,,,,,0,
0.2,0.1,2024,0,0.0,,,,,,,,0,
0.25,0.0,2021,182,0.40444444444444444,0.26373626373626374,0.286356296226546,0.2671365696100529,-0.02262003249028227,0.019219726616493075,0.38604558816783624,0.07763704941066552,43,4.232558139534884
0.25,0.0,2022,164,0.3787528868360277,0.23780487804878048,0.26160125947761825,0.2458519626090162,-0.023796381428837776,0.01574929686860206,0.3644337564150517,0.07304653369295536,42,3.9047619047619047
0.25,0.0,2023,186,0.484375,0.24193548387096775,0.2726228556004904,0.2535800164276633,-0.030687371729522628,0.019042839172827,0.3485510508165287,0.08768088090442572,41,4.536585365853658
0.25,0.0,2024,136,0.4035608308605341,0.2647058823529412,0.28861966351156726,0.2742704493012938,-0.02391378115862608,0.014349214210273459,0.3510764187354723,0.0615632199151539,41,3.317073170731707
0.25,0.01,2021,116,0.2577777777777778,0.2672413793103448,0.30378299193649455,0.27652750732774317,-0.036541612626149744,0.027255484608751372,0.42670479262245964,0.10804542456733658,42,2.761904761904762
0.25,0.01,2022,90,0.20785219399538107,0.26666666666666666,0.28197149394287,0.25764063462603043,-0.015304827276203359,0.02433085931683955,0.41074915825955144,0.10911025739194419,40,2.25
0.25,0.01,2023,138,0.359375,0.2536231884057971,0.28604681692693545,0.2623539031966083,-0.03242362852113834,0.023692913730327083,0.36929409742683506,0.10751579067357717,39,3.5384615384615383
0.25,0.01,2024,77,0.228486646884273,0.2857142857142857,0.3127112460213822,0.29115828881137484,-0.02699696030709653,0.021552957210007398,0.389962607666975,0.08740425027028893,38,2.026315789473684
0.25,0.02,2021,58,0.1288888888888889,0.25862068965517243,0.3290942044093691,0.28913534276885455,-0.07047351475419666,0.03995886164051444,0.4862849565348111,0.15310372051824186,37,1.5675675675675675
0.25,0.02,2022,42,0.09699769053117784,0.2619047619047619,0.30708054169302895,0.27104945916055123,-0.045175779788267034,0.036031082532477735,0.46877834618407777,0.15389075789738574,28,1.5
0.25,0.02,2023,75,0.1953125,0.32,0.30693047026793163,0.2758880150152662,0.013069529732068375,0.031042455252665326,0.4082184621532796,0.13446225159698053,34,2.2058823529411766
0.25,0.02,2024,34,0.10089020771513353,0.2647058823529412,0.3486700838103014,0.31867748358919146,-0.08396420145736022,0.02999260022110993,0.43049779625223283,0.10774342620181283,22,1.5454545454545454
0.25,0.03,2021,31,0.06888888888888889,0.1935483870967742,0.3412142304643508,0.2874477386171653,-0.1476658433675766,0.0537664918471855,0.5485851947130167,0.2051816974820628,23,1.3478260869565217
0.25,0.03,2022,25,0.057736720554272515,0.16,0.312472807765007,0.2684278536471166,-0.15247280776500702,0.04404495411789038,0.5045689837327096,0.19049259602361243,19,1.3157894736842106
0.25,0.03,2023,29,0.07552083333333333,0.41379310344827586,0.3295213783095623,0.28765840008044324,0.08427172513871356,0.04186297822911902,0.44703772969239447,0.16834011375904076,20,1.45
0.25,0.03,2024,12,0.03560830860534125,0.3333333333333333,0.4028990219036738,0.3612866082205705,-0.06956568857034051,0.0416124136831033,0.4819471006888827,0.12882068652019948,11,1.0909090909090908
0.25,0.05,2021,15,0.03333333333333333,0.26666666666666666,0.3683539003133774,0.29747991337657814,-0.10168723364671073,0.07087398693679917,0.610154195737462,0.26022405068079624,13,1.1538461538461537
0.25,0.05,2022,7,0.016166281755196306,0.2857142857142857,0.3454040608235768,0.28436246293389156,-0.05968977510929108,0.061041597889685266,0.5410490761163972,0.23778616530554633,6,1.1666666666666667
0.25,0.05,2023,8,0.020833333333333332,0.5,0.343880794942379,0.2878473437757856,0.156119205057621,0.05603345116659339,0.4898359245251177,0.21178306210786096,7,1.1428571428571428
0.25,0.05,2024,2,0.005934718100890208,0.5,0.4483374208211899,0.3869047619047619,0.05166257917881012,0.06143265891642796,0.5293395140199011,0.17502222277901391,2,1.0
0.25,0.075,2021,5,0.011111111111111112,0.0,0.3493227928876877,0.2632287472656055,-0.3493227928876877,0.08609404562208214,0.632250670446527,0.35145891696214665,5,1.0
0.25,0.075,2022,0,0.0,,,,,,,,0,
0.25,0.075,2023,0,0.0,,,,,,,,0,
0.25,0.075,2024,0,0.0,,,,,,,,0,
0.25,0.1,2021,0,0.0,,,,,,,,0,
0.25,0.1,2022,0,0.0,,,,,,,,0,
0.25,0.1,2023,0,0.0,,,,,,,,0,
0.25,0.1,2024,0,0.0,,,,,,,,0,
0.3,0.0,2021,157,0.3488888888888889,0.27388535031847133,0.3027224980626896,0.28099279543991146,-0.02883714774421825,0.0217297026227781,0.40312315518130515,0.08682702271779037,43,3.6511627906976742
0.3,0.0,2022,123,0.2840646651270208,0.2601626016260163,0.28680096130545546,0.26737294006977774,-0.026638359679439172,0.019428021235677672,0.39266320296859225,0.08704011718609007,42,2.9285714285714284
0.3,0.0,2023,129,0.3359375,0.26356589147286824,0.2867975242493689,0.2637044218436748,-0.023231632776500644,0.023093102405693976,0.38075642418221783,0.10553884442518467,39,3.3076923076923075
0.3,0.0,2024,100,0.29673590504451036,0.32,0.3183867355436087,0.3006776332875852,0.0016132644563913168,0.017709102256023422,0.37815438331583423,0.07351065871351803,37,2.7027027027027026
