URL	https://www.bestfightodds.com/events/ufc-belgrade-4285
1001	Elliott wins in final round or by decision
1002	Any other result
1003	Fight ends in TKO/KO/DQ in round 1
1004	Any other result
1005	Fight ends in TKO/KO/DQ in round 2
1006	Any other result
1007	Fight ends in TKO/KO/DQ in round 3
1008	Any other result
1009	Fight ends in submission in round 1
1010	Any other result
1011	Fight ends in submission in round 2
1012	Any other result
1013	Fight ends in submission in round 3
1014	Any other result
1015	44240 Borislav Nikolic
1016	Mark Vologdin
1017	Over 1½ rounds
1018	Under 1½ rounds
1019	Over 2½ rounds
1020	Under 2½ rounds
1021	Fight goes to decision
1022	Fight doesn't go to decision
1023	Fight starts round 2
1024	Fight won't start round 2
1025	Fight starts round 3
1026	Fight won't start round 3
1027	Fight is a draw
1028	Fight is not a draw
1029	Nikolic wins by TKO/KO
1030	Any other result
1031	Vologdin wins by TKO/KO
1032	Any other result
1033	Nikolic wins by submission
1034	Any other result
1035	Vologdin wins by submission
1036	Any other result
1037	Nikolic wins inside distance
1038	Not Nikolic inside distance
1039	Vologdin wins inside distance
1040	Not Vologdin inside distance
1041	Nikolic wins by decision
1042	Not Nikolic by decision
1043	Vologdin wins by decision
1044	Not Vologdin by decision
1045	Nikolic wins in round 1
1046	Any other result
1047	Vologdin wins in round 1
1048	Any other result
1049	Nikolic wins in round 2
1050	Any other result
1051	Vologdin wins in round 2
1052	Any other result
1053	Nikolic wins in round 3
1054	Any other result
1055	Vologdin wins in round 3
1056	Any other result
1057	Fight ends in round 1
1058	Fight doesn't end in round 1
1059	Fight ends in round 1
1060	Fight doesn't end in round 1
1061	Fight ends in round 1
1062	Fight doesn't end in round 1
1063	Fight ends in round 2
1064	Fight doesn't end in round 2
1065	Fight ends in round 2
1066	Fight doesn't end in round 2
1067	Fight ends in round 2
1068	Fight doesn't end in round 2
1069	Fight ends in round 3
1070	Fight doesn't end in round 3
1071	Fight ends in round 3
1072	Fight doesn't end in round 3
1073	Fight ends in round 3
1074	Fight doesn't end in round 3
1075	Nikolic (scorecards = no action)
1076	Vologdin (scorecards = no action)
1077	Vologdin (scorecards = no action)
1078	Nikolic (scorecards = no action)
1079	Nikolic wins by TKO/KO in round 1
1080	Any other result
1081	Vologdin wins by TKO/KO in round 1
1082	Any other result
1083	Nikolic wins by submission in round 1
1084	Any other result
1085	Vologdin wins by submission in round 1
1086	Any other result
1087	Nikolic wins by TKO/KO in round 2
1088	Any other result
1089	Vologdin wins by TKO/KO in round 2
1090	Any other result
1091	Nikolic wins by TKO/KO in round 3
1092	Any other result
1093	Vologdin wins by TKO/KO in round 3
1094	Any other result
1095	Nikolic wins by submission in round 2
1096	Any other result
1097	Vologdin wins by submission in round 2
1098	Any other result
1099	Nikolic wins by submission in round 3
1100	Any other result
1101	Vologdin wins by submission in round 3
1102	Any other result
1103	Either fighter wins by TKO/KO
1104	Any other result
1105	Either fighter wins by submission
1106	Any other result
1107	Nikolic wins in round 1 or 2
1108	Any other result
1109	Vologdin wins in round 1 or 2
1110	Any other result
1111	Fight ends in round 1 or 2
1112	Any other result
