market_key,is_synthetic,year,n,mean_implied_p,realized_win_rate,calibration_error,brier,log_loss,flat_bet_roi
win_by_ko_tko_dq,False,2022,914.0,0.22245389015817138,0.17177242888402625,-0.050681461274145134,0.13405005789081242,0.43151498438051833,-0.2192714383916333
win_by_ko_tko_dq,False,2023,808.0,0.2237900352803083,0.1547029702970297,-0.0690870649832786,0.13077879487673455,0.42411338991986464,-0.2702722991921524
win_by_ko_tko_dq,False,2024,725.0,0.22779735127826223,0.16275862068965516,-0.06503873058860707,0.12676934204427634,0.4112125640482848,-0.28587704708391287
win_by_ko_tko_dq,False,2025,757.0,0.148398702988543,0.16512549537648613,0.01672679238794314,0.1323981493311245,0.43742585084967317,0.5992032786559235
win_by_ko_tko_dq,False,2026,227.0,0.1526266279472653,0.16740088105726872,0.01477425311000341,0.1425883400842511,0.46911993273392694,0.7955148375853222
win_by_submission,False,2012,144.0,0.1349924984327923,0.0625,-0.07249249843279229,0.05727054882551695,0.22267248492736227,-0.6929861111111112
win_by_submission,False,2013,639.0,0.14116384138872753,0.07198748043818466,-0.06917636095054287,0.06707603883710773,0.252598917258477,-0.580069897957222
win_by_submission,False,2014,606.0,0.1310477168374535,0.09405940594059406,-0.036988310896859444,0.08142729035793246,0.2884478514654625,-0.38318160698057385
win_by_submission,False,2015,849.0,0.13886151798714477,0.09069493521790342,-0.04816658276924135,0.0796241172106741,0.28726026705501867,-0.43052441541840836
win_by_submission,False,2016,865.0,0.13959497783738425,0.09132947976878612,-0.04826549806859813,0.07964901484255078,0.28812587463229833,-0.41498161745560597
win_by_submission,False,2017,798.0,0.13324715298029832,0.08521303258145363,-0.04803412039884469,0.0738554879059547,0.27084532038914866,-0.46772650100324126
win_by_submission,False,2018,859.0,0.1322797207505436,0.09313154831199069,-0.0391481724385529,0.07306062908344955,0.2648950250652893,-0.47608653666860884
win_by_submission,False,2019,902.0,0.1315777048055812,0.07982261640798226,-0.051755088397598945,0.07205437646404884,0.26673577298955103,-0.43821186204778223
win_by_submission,False,2020,824.0,0.1348500765197944,0.09587378640776699,-0.0389762901120274,0.07683810228650326,0.27530214997204433,-0.4432218502950643
win_by_submission,False,2021,922.0,0.12488734258831516,0.0770065075921909,-0.047880834996124264,0.06900003742287288,0.2604783644445303,-0.4139814632222441
win_by_submission,False,2022,914.0,0.12740002351332785,0.09846827133479212,-0.028931752178535733,0.07958908922507356,0.2811855832219926,-0.3781604994405869
win_by_submission,False,2023,808.0,0.13552572750701206,0.10272277227722772,-0.03280295522978434,0.08260130086278604,0.2923533107225785,-0.32230690330937856
win_by_submission,False,2024,723.0,0.1225866080094385,0.07607192254495158,-0.04651468546448692,0.06651678329187125,0.24907437715452055,-0.44972779896707976
win_by_submission,False,2025,757.0,0.08948364071273583,0.07793923381770146,-0.011544406895034373,0.06870784258481193,0.25901193721601085,0.10882253121067662
win_by_submission,False,2026,227.0,0.08158750402783628,0.05286343612334802,-0.02872406790448826,0.04764381493799132,0.19455488642529872,-0.2881057268722467
