market_type,card,date,fight_id,fighter,market_key,odds,market_fair_p,model_p,edge,won,min_prior_fights,cold_start,cold_start_fighters,fighter_prior_fights,eligible,eligibility_reason
method,Oklahoma City,2026-07-18,9e525f939fba3e73,Damien Anderson,win_by_decision,333.0,0.1906510631855345,0.2551506161689758,0.0644995529834412,0,0.0,True,Ezra Elliott | Damien Anderson,Ezra Elliott:0 | Damien Anderson:0,False,cold_start_fighter_lt_2_prior_fights
method,Oklahoma City,2026-07-18,9e525f939fba3e73,Ezra Elliott,win_by_decision,400.0,0.1651038207186729,0.192822590470314,0.027718769751641,1,0.0,True,Ezra Elliott | Damien Anderson,Ezra Elliott:0 | Damien Anderson:0,False,cold_start_fighter_lt_2_prior_fights
method,Oklahoma City,2026-07-18,c64c6ba6eb1e1d06,Tommy McMillen,win_by_decision,525.0,0.1385812699993289,0.1593474149703979,0.020766144971069,0,1.0,True,Tommy McMillen | Alberto Montes,Tommy McMillen:1 | Alberto Montes:1,False,cold_start_fighter_lt_2_prior_fights
method,Oklahoma City,2026-07-18,c64c6ba6eb1e1d06,Tommy McMillen,win_by_ko_tko_dq,253.0,0.2453634383840809,0.2900627851486206,0.0446993467645396,1,1.0,True,Tommy McMillen | Alberto Montes,Tommy McMillen:1 | Alberto Montes:1,False,cold_start_fighter_lt_2_prior_fights
method,Oklahoma City,2026-07-18,e05155c1b5c2dc74,RJ Harris,win_by_decision,500.0,0.1449616404301471,0.1722140312194824,0.0272523907893353,0,0.0,True,Alvin Hines | RJ Harris,Alvin Hines:1 | RJ Harris:0,False,cold_start_fighter_lt_2_prior_fights
method,Oklahoma City,2026-07-18,f2abca7379982d4f,Chase Hooper,win_by_decision,310.0,0.211840062495802,0.2777414619922638,0.0659013994964617,0,2.0,False,,Chase Hooper:13 | Mitch Ramirez:2,True,eligible
method,Oklahoma City,2026-07-18,f2eb569176e46edf,Seokhyeon Ko,win_by_decision,138.0,0.3632440487740513,0.4120126962661743,0.048768647492123,0,1.0,True,Jean-Paul Lebosnoyani,Seokhyeon Ko:2 | Jean-Paul Lebosnoyani:1,False,cold_start_fighter_lt_2_prior_fights
moneyline,Abu Dhabi,2026-07-25,05bc7a042156b6f6,Muhammad Said,moneyline,154.0,0.3775334481388264,0.42451211810112,0.0469786699622936,1,0.0,True,Muhammad Saidov,Muhammad Saidov:0 | Dustin Jacoby:16,False,cold_start_fighter_lt_2_prior_fights
moneyline,Abu Dhabi,2026-07-25,532340708f0500bd,Abdul Hussein,moneyline,-650.0,0.8328690807799444,0.8681812882423401,0.0353122074623957,1,0.0,True,Abdul Hussein,Abdul Hussein:0 | Cody Gibson:10,False,cold_start_fighter_lt_2_prior_fights
moneyline,Abu Dhabi,2026-07-25,5ffb251c6ea48b65,Rizvan Kuniev,moneyline,-360.0,0.7508125677139762,0.7757158279418945,0.0249032602279183,1,1.0,True,Tyrell Fortune,Rizvan Kuniev:2 | Tyrell Fortune:1,False,cold_start_fighter_lt_2_prior_fights
moneyline,Abu Dhabi,2026-07-25,61280e5644189c61,Saygid Izagakhmaev,moneyline,185.0,0.3363518758085381,0.4142692387104034,0.0779173629018653,0,0.0,True,Saygid Izagakhmaev | Abubakar Vagaev,Saygid Izagakhmaev:1 | Abubakar Vagaev:0,False,cold_start_fighter_lt_2_prior_fights
moneyline,Abu Dhabi,2026-07-25,9009ec7b91f2be14,Magomed Ankalaev,moneyline,-535.0,0.8081570996978852,0.8382949233055115,0.0301378236076262,1,5.0,False,,Magomed Ankalaev:14 | Bogdan Guskov:5,True,eligible
moneyline,Abu Dhabi,2026-07-25,a122306d0ce5fbfb,Axel Sola,moneyline,-192.0,0.6309403437815976,0.6707494854927063,0.0398091417111087,1,2.0,False,,Axel Sola:2 | Ismael Bonfim:5,True,eligible
moneyline,Abu Dhabi,2026-07-25,d7070ab1b2144f8d,Thomas Petersen,moneyline,140.0,0.4003612281757977,0.4444615542888641,0.0441003261130664,0,5.0,False,,Thomas Petersen:6 | Valter Walker:5,True,eligible
moneyline,Abu Dhabi,2026-07-25,f6e6b004f07363e9,Sam Patterson,moneyline,-485.0,0.7957758771164253,0.8326351046562195,0.0368592275397942,1,6.0,False,,Santiago Ponzinibbio:20 | Sam Patterson:6,True,eligible
method,Abu Dhabi,2026-07-25,05bc7a042156b6f6,Muhammad Said,win_by_ko_tko_dq,380.0,0.1770886763015435,0.2246059030294418,0.0475172267278982,1,0.0,True,Muhammad Saidov,Muhammad Saidov:0 | Dustin Jacoby:16,False,cold_start_fighter_lt_2_prior_fights
method,Abu Dhabi,2026-07-25,05bc7a042156b6f6,Muhammad Said,win_by_decision,460.0,0.1517902939727516,0.1973366290330886,0.045546335060337,0,0.0,True,Muhammad Saidov,Muhammad Saidov:0 | Dustin Jacoby:16,False,cold_start_fighter_lt_2_prior_fights
method,Abu Dhabi,2026-07-25,05bc7a042156b6f6,Dustin Jacoby,win_by_decision,230.0,0.2575835291658815,0.3471198379993438,0.0895363088334623,0,0.0,True,Muhammad Saidov,Muhammad Saidov:0 | Dustin Jacoby:16,False,cold_start_fighter_lt_2_prior_fights
method,Abu Dhabi,2026-07-25,3ac870d6e7d323b7,Brendson Ribeiro,win_by_decision,1900.0,0.0433484377673402,0.0730179101228714,0.0296694723555311,0,0.0,True,Magomed Tuchalov,Brendson Ribeiro:7 | Magomed Tuchalov:0,False,cold_start_fighter_lt_2_prior_fights
method,Abu Dhabi,2026-07-25,532340708f0500bd,Abdul Hussein,win_by_ko_tko_dq,233.0,0.2593135032443429,0.2896867096424103,0.0303732063980674,0,0.0,True,Abdul Hussein,Abdul Hussein:0 | Cody Gibson:10,False,cold_start_fighter_lt_2_prior_fights
method,Abu Dhabi,2026-07-25,532340708f0500bd,Abdul Hussein,win_by_decision,250.0,0.2467182759439033,0.3042085170745849,0.0574902411306816,0,0.0,True,Abdul Hussein,Abdul Hussein:0 | Cody Gibson:10,False,cold_start_fighter_lt_2_prior_fights
method,Abu Dhabi,2026-07-25,532340708f0500bd,Cody Gibson,win_by_decision,1125.0,0.0704909359839723,0.0955905392765998,0.0250996032926275,0,0.0,True,Abdul Hussein,Abdul Hussein:0 | Cody Gibson:10,False,cold_start_fighter_lt_2_prior_fights
method,Abu Dhabi,2026-07-25,5ffb251c6ea48b65,Rizvan Kuniev,win_by_ko_tko_dq,205.0,0.2836259990787529,0.3081023097038269,0.0244763106250739,1,1.0,True,Tyrell Fortune,Rizvan Kuniev:2 | Tyrell Fortune:1,False,cold_start_fighter_lt_2_prior_fights
method,Abu Dhabi,2026-07-25,5ffb251c6ea48b65,Tyrell Fortune,win_by_decision,460.0,0.1544748744982494,0.2216584235429763,0.0671835490447269,0,1.0,True,Tyrell Fortune,Rizvan Kuniev:2 | Tyrell Fortune:1,False,cold_start_fighter_lt_2_prior_fights
method,Abu Dhabi,2026-07-25,61280e5644189c61,Abubakar Vagaev,win_by_decision,-118.0,0.4699116407693721,0.4994147717952728,0.0295031310259007,1,0.0,True,Saygid Izagakhmaev | Abubakar Vagaev,Saygid Izagakhmaev:1 | Abubakar Vagaev:0,False,cold_start_fighter_lt_2_prior_fights
method,Abu Dhabi,2026-07-25,61280e5644189c61,Saygid Izagakhmaev,win_by_decision,650.0,0.1157522459748283,0.1781472861766815,0.0623950402018531,0,0.0,True,Saygid Izagakhmaev | Abubakar Vagaev,Saygid Izagakhmaev:1 | Abubakar Vagaev:0,False,cold_start_fighter_lt_2_prior_fights
method,Abu Dhabi,2026-07-25,9009ec7b91f2be14,Magomed Ankalaev,win_by_decision,420.0,0.16483264481015,0.2026079893112182,0.0377753445010682,0,5.0,False,,Magomed Ankalaev:14 | Bogdan Guskov:5,True,eligible
method,Abu Dhabi,2026-07-25,a122306d0ce5fbfb,Axel Sola,win_by_decision,263.0,0.236958737792292,0.2929496169090271,0.055990879116735,0,2.0,False,,Axel Sola:2 | Ismael Bonfim:5,True,eligible
method,Abu Dhabi,2026-07-25,a122306d0ce5fbfb,Ismael Bonfim,win_by_decision,475.0,0.1495930814236556,0.1707584410905838,0.0211653596669281,0,2.0,False,,Axel Sola:2 | Ismael Bonfim:5,True,eligible
