market_type,threshold,card,date,bets,wins,losses,flat_start_bankroll,flat_risk,flat_profit,flat_end_bankroll,flat_card_roi,kelly_start_bankroll,kelly_risk,kelly_profit,kelly_end_bankroll,kelly_card_roi
method,0.03,Belgrade,2026-08-01,12,3,9,601.4048625792813,120.0,-17.0,584.4048625792813,-0.14166666666666666,543.173505505807,60.7105608591503,-11.560285319403583,531.6132201864035,-0.19041638152913254
method,0.05,Freedom 250,2026-06-14,4,3,1,500.0,40.0,46.09090909090909,546.0909090909091,1.1522727272727273,500.0,35.834749016001034,37.36611034326027,537.3661103432603,1.0427339766374657
method,0.05,Vegas 119,2026-06-20,3,2,1,546.0909090909091,30.0,26.5,572.5909090909091,0.8833333333333333,537.3661103432603,24.21844210894998,28.256080946025616,565.6221912892859,1.1667175295137386
method,0.05,Baku,2026-06-27,1,0,1,572.5909090909091,10.0,-10.0,562.5909090909091,-1.0,565.6221912892859,7.564855539692455,-7.564855539692455,558.0573357495934,-1.0
method,0.05,UFC 329,2026-07-11,3,1,2,562.5909090909091,30.0,6.0,568.5909090909091,0.2,558.0573357495934,14.645015611637696,-4.8567219064096445,553.2006138431838,-0.33162968447437086
method,0.05,Oklahoma City,2026-07-18,4,2,2,568.5909090909091,40.0,12.313953488372093,580.9048625792813,0.30784883720930234,553.2006138431838,16.86959170803367,-4.686337371402142,548.5142764717816,-0.27779791310363516
method,0.05,Abu Dhabi,2026-07-25,3,0,3,580.9048625792813,30.0,-30.0,550.9048625792813,-1.0,548.5142764717816,15.480992115381571,-15.480992115381571,533.0332843564,-1.0
method,0.05,Belgrade,2026-08-01,3,1,2,550.9048625792813,30.0,4.0,554.9048625792813,0.13333333333333333,533.0332843564,33.812574000710754,2.9147038728367605,535.9479882292368,0.08620177430962495
method,0.075,Freedom 250,2026-06-14,2,2,0,500.0,20.0,29.59090909090909,529.5909090909091,1.4795454545454545,500.0,26.50622422011886,37.911536646160194,537.9115366461602,1.4302880837092002
method,0.075,Vegas 119,2026-06-20,1,1,0,529.5909090909091,10.0,10.5,540.0909090909091,1.05,537.9115366461602,14.860223873390462,15.603235067059986,553.5147717132203,1.05
