fight_id,path,side,fighter_name,duration,target_control,realized_control,free_seconds,sim_distance_attempted,sim_distance_landed,sim_clinch_attempted,sim_clinch_landed,sim_ground_attempted,sim_ground_landed,sim_td_attempted,sim_td_landed,sim_standing_attempted,sim_standing_landed,sim_qualified_control_inflicted_seconds
41cdbcc0f3635b8f,17,red,Christian Rodriguez,900.0,610.0,609.9007052470183,290.09929475298225,129.0,64.0,7.0,3.0,0.0,0.0,4.0,1.0,136.0,67.0,140.0
41cdbcc0f3635b8f,17,blue,Melquizael Costa,900.0,610.0,609.9007052470183,290.09929475298225,132.0,62.0,8.0,5.0,1.0,1.0,8.0,5.0,140.0,67.0,469.9007052470183
41cdbcc0f3635b8f,18,red,Christian Rodriguez,900.0,710.0,710.0,190.0000000000003,33.0,18.0,3.0,2.0,0.0,0.0,6.0,4.0,36.0,20.0,680.0
41cdbcc0f3635b8f,18,blue,Melquizael Costa,900.0,710.0,710.0,190.0000000000003,85.0,32.0,9.0,5.0,0.0,0.0,6.0,1.0,94.0,37.0,30.0
41cdbcc0f3635b8f,19,red,Christian Rodriguez,900.0,900.0,900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,440.0
41cdbcc0f3635b8f,19,blue,Melquizael Costa,900.0,900.0,900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,460.0
55376d5c205fa844,0,red,David Martinez,278.0,70.0,70.0,208.00000000000003,10.0,5.0,2.0,2.0,0.0,0.0,2.0,1.0,12.0,7.0,0.0
55376d5c205fa844,0,blue,Saimon Oliveira,278.0,70.0,70.0,208.00000000000003,43.0,18.0,0.0,0.0,0.0,0.0,2.0,0.0,43.0,18.0,70.0
55376d5c205fa844,1,red,David Martinez,278.0,140.0,140.0,138.00000000000009,10.0,6.0,0.0,0.0,4.0,0.0,0.0,0.0,10.0,6.0,120.0
55376d5c205fa844,1,blue,Saimon Oliveira,278.0,140.0,140.0,138.00000000000009,53.0,19.0,14.0,10.0,1.0,0.0,1.0,0.0,67.0,29.0,20.0
55376d5c205fa844,2,red,David Martinez,278.0,20.0,20.0,257.99999999999994,32.0,15.0,1.0,1.0,3.0,2.0,0.0,0.0,33.0,16.0,20.0
55376d5c205fa844,2,blue,Saimon Oliveira,278.0,20.0,20.0,257.99999999999994,13.0,5.0,6.0,3.0,0.0,0.0,2.0,0.0,19.0,8.0,0.0
55376d5c205fa844,3,red,David Martinez,278.0,50.0,50.0,227.99999999999997,33.0,20.0,1.0,0.0,9.0,7.0,1.0,0.0,34.0,20.0,0.0
55376d5c205fa844,3,blue,Saimon Oliveira,278.0,50.0,50.0,227.99999999999997,30.0,13.0,1.0,1.0,0.0,0.0,2.0,0.0,31.0,14.0,50.0
55376d5c205fa844,4,red,David Martinez,278.0,278.0,278.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,268.0
55376d5c205fa844,4,blue,Saimon Oliveira,278.0,278.0,278.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
55376d5c205fa844,5,red,David Martinez,278.0,10.0,10.0,268.00000000000006,87.0,41.0,1.0,0.0,0.0,0.0,0.0,0.0,88.0,41.0,10.0
55376d5c205fa844,5,blue,Saimon Oliveira,278.0,10.0,10.0,268.00000000000006,79.0,23.0,8.0,5.0,2.0,2.0,5.0,1.0,87.0,28.0,0.0
55376d5c205fa844,6,red,David Martinez,278.0,0.0,0.0,278.0,35.0,10.0,6.0,2.0,2.0,1.0,2.0,2.0,41.0,12.0,0.0
55376d5c205fa844,6,blue,Saimon Oliveira,278.0,0.0,0.0,278.0,68.0,29.0,2.0,2.0,0.0,0.0,2.0,0.0,70.0,31.0,0.0
55376d5c205fa844,7,red,David Martinez,278.0,70.0,70.0,207.99999999999994,16.0,8.0,5.0,5.0,0.0,0.0,1.0,1.0,21.0,13.0,70.0
55376d5c205fa844,7,blue,Saimon Oliveira,278.0,70.0,70.0,207.99999999999994,38.0,13.0,1.0,1.0,1.0,1.0,2.0,0.0,39.0,14.0,0.0
55376d5c205fa844,8,red,David Martinez,278.0,50.0,50.0,228.00000000000006,27.0,13.0,0.0,0.0,2.0,1.0,0.0,0.0,27.0,13.0,0.0
55376d5c205fa844,8,blue,Saimon Oliveira,278.0,50.0,50.0,228.00000000000006,31.0,15.0,0.0,0.0,2.0,1.0,2.0,1.0,31.0,15.0,50.0
55376d5c205fa844,9,red,David Martinez,278.0,60.0,60.0,218.0,63.0,28.0,0.0,0.0,6.0,3.0,3.0,3.0,63.0,28.0,60.0
55376d5c205fa844,9,blue,Saimon Oliveira,278.0,60.0,60.0,218.0,74.0,22.0,10.0,7.0,3.0,2.0,1.0,0.0,84.0,29.0,0.0
55376d5c205fa844,10,red,David Martinez,278.0,40.0,40.0,237.99999999999991,98.0,44.0,0.0,0.0,6.0,1.0,1.0,1.0,98.0,44.0,10.0
55376d5c205fa844,10,blue,Saimon Oliveira,278.0,40.0,40.0,237.99999999999991,15.0,4.0,9.0,6.0,3.0,3.0,2.0,1.0,24.0,10.0,30.0
55376d5c205fa844,11,red,David Martinez,278.0,0.0,0.0,278.0,89.0,51.0,5.0,5.0,1.0,1.0,1.0,1.0,94.0,56.0,0.0
55376d5c205fa844,11,blue,Saimon Oliveira,278.0,0.0,0.0,278.0,133.0,54.0,1.0,0.0,0.0,0.0,2.0,0.0,134.0,54.0,0.0
55376d5c205fa844,12,red,David Martinez,278.0,70.0,70.0,208.0,32.0,11.0,5.0,1.0,0.0,0.0,1.0,1.0,37.0,12.0,70.0
55376d5c205fa844,12,blue,Saimon Oliveira,278.0,70.0,70.0,208.0,17.0,7.0,1.0,1.0,6.0,3.0,0.0,0.0,18.0,8.0,0.0
55376d5c205fa844,13,red,David Martinez,278.0,60.0,60.0,217.99999999999997,26.0,15.0,8.0,4.0,0.0,0.0,3.0,0.0,34.0,19.0,60.0
55376d5c205fa844,13,blue,Saimon Oliveira,278.0,60.0,60.0,217.99999999999997,62.0,23.0,4.0,4.0,2.0,1.0,0.0,0.0,66.0,27.0,0.0
