fight_id,red_name,blue_name,winner_name,method,variant,actual_red_win,predicted_red_win,red_rounds,blue_rounds,tied_rounds,correct
4072abf0b0c179f2,Giga Chikadze,David Onama,David Onama,Decision - Unanimous,DAMAGE_FIRST,0,0.0,1,2,0,True
633f4b5ec767769d,Ian Machado Garry,Carlos Prates,Ian Machado Garry,Decision - Unanimous,SIG_ONLY,1,1.0,5,0,0,True
633f4b5ec767769d,Ian Machado Garry,Carlos Prates,Ian Machado Garry,Decision - Unanimous,SIG_KD,1,1.0,5,0,0,True
633f4b5ec767769d,Ian Machado Garry,Carlos Prates,Ian Machado Garry,Decision - Unanimous,SIG_KD_TD,1,1.0,5,0,0,True
633f4b5ec767769d,Ian Machado Garry,Carlos Prates,Ian Machado Garry,Decision - Unanimous,SIG_KD_TD_CTRL,1,1.0,5,0,0,True
633f4b5ec767769d,Ian Machado Garry,Carlos Prates,Ian Machado Garry,Decision - Unanimous,OLD_FULL,1,1.0,5,0,0,True
633f4b5ec767769d,Ian Machado Garry,Carlos Prates,Ian Machado Garry,Decision - Unanimous,DAMAGE_FIRST,1,1.0,5,0,0,True
6f3cb7ce84185dd3,Chris Gutierrez,John Castaneda,Chris Gutierrez,Decision - Split,SIG_ONLY,1,1.0,2,1,0,True
6f3cb7ce84185dd3,Chris Gutierrez,John Castaneda,Chris Gutierrez,Decision - Split,SIG_KD,1,1.0,2,1,0,True
6f3cb7ce84185dd3,Chris Gutierrez,John Castaneda,Chris Gutierrez,Decision - Split,SIG_KD_TD,1,1.0,2,1,0,True
6f3cb7ce84185dd3,Chris Gutierrez,John Castaneda,Chris Gutierrez,Decision - Split,SIG_KD_TD_CTRL,1,1.0,2,1,0,True
6f3cb7ce84185dd3,Chris Gutierrez,John Castaneda,Chris Gutierrez,Decision - Split,OLD_FULL,1,1.0,2,1,0,True
6f3cb7ce84185dd3,Chris Gutierrez,John Castaneda,Chris Gutierrez,Decision - Split,DAMAGE_FIRST,1,1.0,2,1,0,True
7d51649373d42571,Da'Mon Blackshear,Alatengheili,Da'Mon Blackshear,Decision - Unanimous,SIG_ONLY,1,1.0,3,0,0,True
7d51649373d42571,Da'Mon Blackshear,Alatengheili,Da'Mon Blackshear,Decision - Unanimous,SIG_KD,1,1.0,3,0,0,True
7d51649373d42571,Da'Mon Blackshear,Alatengheili,Da'Mon Blackshear,Decision - Unanimous,SIG_KD_TD,1,1.0,3,0,0,True
7d51649373d42571,Da'Mon Blackshear,Alatengheili,Da'Mon Blackshear,Decision - Unanimous,SIG_KD_TD_CTRL,1,1.0,3,0,0,True
7d51649373d42571,Da'Mon Blackshear,Alatengheili,Da'Mon Blackshear,Decision - Unanimous,OLD_FULL,1,1.0,3,0,0,True
7d51649373d42571,Da'Mon Blackshear,Alatengheili,Da'Mon Blackshear,Decision - Unanimous,DAMAGE_FIRST,1,1.0,3,0,0,True
97770b38df67b276,Evan Elder,Gauge Young,Evan Elder,Decision - Unanimous,SIG_ONLY,1,1.0,3,0,0,True
97770b38df67b276,Evan Elder,Gauge Young,Evan Elder,Decision - Unanimous,SIG_KD,1,1.0,3,0,0,True
97770b38df67b276,Evan Elder,Gauge Young,Evan Elder,Decision - Unanimous,SIG_KD_TD,1,1.0,3,0,0,True
97770b38df67b276,Evan Elder,Gauge Young,Evan Elder,Decision - Unanimous,SIG_KD_TD_CTRL,1,1.0,3,0,0,True
97770b38df67b276,Evan Elder,Gauge Young,Evan Elder,Decision - Unanimous,OLD_FULL,1,1.0,3,0,0,True
97770b38df67b276,Evan Elder,Gauge Young,Evan Elder,Decision - Unanimous,DAMAGE_FIRST,1,1.0,3,0,0,True
9bbd45774fb4a6eb,Michel Pereira,Abus Magomedov,Abus Magomedov,Decision - Unanimous,SIG_ONLY,0,1.0,2,1,0,False
9bbd45774fb4a6eb,Michel Pereira,Abus Magomedov,Abus Magomedov,Decision - Unanimous,SIG_KD,0,1.0,2,1,0,False
9bbd45774fb4a6eb,Michel Pereira,Abus Magomedov,Abus Magomedov,Decision - Unanimous,SIG_KD_TD,0,1.0,2,1,0,False
9bbd45774fb4a6eb,Michel Pereira,Abus Magomedov,Abus Magomedov,Decision - Unanimous,SIG_KD_TD_CTRL,0,1.0,2,1,0,False
9bbd45774fb4a6eb,Michel Pereira,Abus Magomedov,Abus Magomedov,Decision - Unanimous,OLD_FULL,0,1.0,2,1,0,False
9bbd45774fb4a6eb,Michel Pereira,Abus Magomedov,Abus Magomedov,Decision - Unanimous,DAMAGE_FIRST,0,1.0,2,1,0,False
d8d22dcc1f6912e7,Matt Schnell,Jimmy Flick,Matt Schnell,Decision - Unanimous,SIG_ONLY,1,1.0,2,1,0,True
d8d22dcc1f6912e7,Matt Schnell,Jimmy Flick,Matt Schnell,Decision - Unanimous,SIG_KD,1,1.0,2,1,0,True
d8d22dcc1f6912e7,Matt Schnell,Jimmy Flick,Matt Schnell,Decision - Unanimous,SIG_KD_TD,1,1.0,2,1,0,True
d8d22dcc1f6912e7,Matt Schnell,Jimmy Flick,Matt Schnell,Decision - Unanimous,SIG_KD_TD_CTRL,1,1.0,2,1,0,True
d8d22dcc1f6912e7,Matt Schnell,Jimmy Flick,Matt Schnell,Decision - Unanimous,OLD_FULL,1,1.0,2,1,0,True
d8d22dcc1f6912e7,Matt Schnell,Jimmy Flick,Matt Schnell,Decision - Unanimous,DAMAGE_FIRST,1,1.0,2,1,0,True
2707dc2245335cc1,Yana Santos,Miesha Tate,Yana Santos,Decision - Unanimous,SIG_ONLY,1,1.0,2,1,0,True
2707dc2245335cc1,Yana Santos,Miesha Tate,Yana Santos,Decision - Unanimous,SIG_KD,1,1.0,2,1,0,True
2707dc2245335cc1,Yana Santos,Miesha Tate,Yana Santos,Decision - Unanimous,SIG_KD_TD,1,1.0,2,1,0,True
2707dc2245335cc1,Yana Santos,Miesha Tate,Yana Santos,Decision - Unanimous,SIG_KD_TD_CTRL,1,1.0,2,1,0,True
2707dc2245335cc1,Yana Santos,Miesha Tate,Yana Santos,Decision - Unanimous,OLD_FULL,1,1.0,2,1,0,True
2707dc2245335cc1,Yana Santos,Miesha Tate,Yana Santos,Decision - Unanimous,DAMAGE_FIRST,1,1.0,2,1,0,True
469f887278324e63,Juliana Miller,Ivana Petrovic,Juliana Miller,Decision - Unanimous,SIG_ONLY,1,0.0,1,2,0,False
469f887278324e63,Juliana Miller,Ivana Petrovic,Juliana Miller,Decision - Unanimous,SIG_KD,1,0.0,1,2,0,False
469f887278324e63,Juliana Miller,Ivana Petrovic,Juliana Miller,Decision - Unanimous,SIG_KD_TD,1,1.0,2,1,0,True
469f887278324e63,Juliana Miller,Ivana Petrovic,Juliana Miller,Decision - Unanimous,SIG_KD_TD_CTRL,1,1.0,2,1,0,True
469f887278324e63,Juliana Miller,Ivana Petrovic,Juliana Miller,Decision - Unanimous,OLD_FULL,1,1.0,2,1,0,True
469f887278324e63,Juliana Miller,Ivana Petrovic,Juliana Miller,Decision - Unanimous,DAMAGE_FIRST,1,0.0,1,2,0,False
5ce29056e0cd2df9,Montel Jackson,Daniel Marcos,Montel Jackson,Decision - Unanimous,SIG_ONLY,1,1.0,2,0,1,True
5ce29056e0cd2df9,Montel Jackson,Daniel Marcos,Montel Jackson,Decision - Unanimous,SIG_KD,1,1.0,2,0,1,True
5ce29056e0cd2df9,Montel Jackson,Daniel Marcos,Montel Jackson,Decision - Unanimous,SIG_KD_TD,1,1.0,2,0,1,True
