fight_id,path,side,fighter_name,duration,control_hit_cap,final_td_control_shift,sim_distance_attempted,sim_distance_landed,sim_clinch_attempted,sim_clinch_landed,sim_ground_attempted,sim_ground_landed,sim_td_attempted,sim_td_landed,sim_qualified_control_inflicted_seconds
41cdbcc0f3635b8f,18,blue,Melquizael Costa,900.0,0.0,0.6938396217551094,183.0,78.0,20.0,14.0,0.0,0.0,13.0,6.0,670.0
41cdbcc0f3635b8f,19,red,Christian Rodriguez,900.0,0.0,0.34691981087755475,135.0,63.0,16.0,9.0,2.0,0.0,6.0,1.0,550.0
41cdbcc0f3635b8f,19,blue,Melquizael Costa,900.0,0.0,0.34691981087755475,99.0,32.0,9.0,7.0,2.0,2.0,0.0,0.0,350.0
55376d5c205fa844,0,red,David Martinez,278.0,0.0,-0.34691981087755475,29.0,12.0,5.0,3.0,0.0,0.0,1.0,0.0,0.0
55376d5c205fa844,0,blue,Saimon Oliveira,278.0,0.0,-0.34691981087755475,16.0,5.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0
55376d5c205fa844,1,red,David Martinez,278.0,0.0,0.0,40.0,15.0,1.0,1.0,8.0,7.0,0.0,0.0,80.0
55376d5c205fa844,1,blue,Saimon Oliveira,278.0,0.0,0.0,53.0,16.0,3.0,3.0,0.0,0.0,1.0,0.0,30.0
55376d5c205fa844,2,red,David Martinez,278.0,0.0,0.0,81.0,35.0,3.0,2.0,4.0,3.0,0.0,0.0,20.0
55376d5c205fa844,2,blue,Saimon Oliveira,278.0,0.0,0.0,58.0,27.0,2.0,0.0,16.0,11.0,2.0,0.0,0.0
55376d5c205fa844,3,red,David Martinez,278.0,0.0,0.0,15.0,10.0,1.0,0.0,0.0,0.0,2.0,1.0,20.0
55376d5c205fa844,3,blue,Saimon Oliveira,278.0,0.0,0.0,16.0,7.0,6.0,4.0,1.0,1.0,1.0,1.0,0.0
55376d5c205fa844,4,red,David Martinez,278.0,1.0,0.34691981087755475,26.0,16.0,0.0,0.0,7.0,6.0,3.0,1.0,200.0
55376d5c205fa844,4,blue,Saimon Oliveira,278.0,1.0,0.34691981087755475,83.0,29.0,0.0,0.0,0.0,0.0,1.0,0.0,78.0
55376d5c205fa844,5,red,David Martinez,278.0,0.0,0.34691981087755475,38.0,17.0,0.0,0.0,7.0,6.0,2.0,1.0,70.0
55376d5c205fa844,5,blue,Saimon Oliveira,278.0,0.0,0.34691981087755475,65.0,28.0,1.0,1.0,1.0,1.0,1.0,0.0,70.0
55376d5c205fa844,6,red,David Martinez,278.0,0.0,0.0,65.0,26.0,0.0,0.0,6.0,4.0,0.0,0.0,60.0
55376d5c205fa844,6,blue,Saimon Oliveira,278.0,0.0,0.0,48.0,21.0,11.0,7.0,1.0,1.0,1.0,0.0,20.0
55376d5c205fa844,7,red,David Martinez,278.0,0.0,0.0,14.0,8.0,0.0,0.0,2.0,2.0,2.0,1.0,160.0
55376d5c205fa844,7,blue,Saimon Oliveira,278.0,0.0,0.0,23.0,7.0,0.0,0.0,3.0,1.0,5.0,1.0,60.0
55376d5c205fa844,8,red,David Martinez,278.0,0.0,0.0,46.0,23.0,0.0,0.0,6.0,6.0,0.0,0.0,120.0
55376d5c205fa844,8,blue,Saimon Oliveira,278.0,0.0,0.0,49.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0
55376d5c205fa844,9,red,David Martinez,278.0,0.0,0.34691981087755475,4.0,1.0,4.0,3.0,3.0,3.0,2.0,1.0,70.0
55376d5c205fa844,9,blue,Saimon Oliveira,278.0,0.0,0.34691981087755475,16.0,4.0,3.0,1.0,0.0,0.0,1.0,0.0,40.0
55376d5c205fa844,10,red,David Martinez,278.0,0.0,0.34691981087755475,13.0,5.0,7.0,7.0,5.0,2.0,2.0,1.0,50.0
55376d5c205fa844,10,blue,Saimon Oliveira,278.0,0.0,0.34691981087755475,11.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55376d5c205fa844,11,red,David Martinez,278.0,1.0,0.0,38.0,23.0,6.0,4.0,1.0,0.0,1.0,1.0,168.0
55376d5c205fa844,11,blue,Saimon Oliveira,278.0,1.0,0.0,18.0,5.0,2.0,0.0,6.0,6.0,2.0,1.0,110.0
55376d5c205fa844,12,red,David Martinez,278.0,0.0,-0.34691981087755475,7.0,5.0,0.0,0.0,6.0,6.0,2.0,0.0,40.0
55376d5c205fa844,12,blue,Saimon Oliveira,278.0,0.0,-0.34691981087755475,30.0,11.0,0.0,0.0,0.0,0.0,1.0,1.0,10.0
55376d5c205fa844,13,red,David Martinez,278.0,0.0,0.0,49.0,29.0,2.0,1.0,0.0,0.0,0.0,0.0,10.0
55376d5c205fa844,13,blue,Saimon Oliveira,278.0,0.0,0.0,22.0,6.0,1.0,1.0,0.0,0.0,1.0,0.0,20.0
55376d5c205fa844,14,red,David Martinez,278.0,0.0,0.6938396217551095,26.0,15.0,12.0,8.0,4.0,3.0,3.0,2.0,80.0
55376d5c205fa844,14,blue,Saimon Oliveira,278.0,0.0,0.6938396217551095,49.0,15.0,7.0,3.0,1.0,1.0,1.0,0.0,40.0
55376d5c205fa844,15,red,David Martinez,278.0,0.0,0.0,57.0,24.0,1.0,1.0,2.0,0.0,1.0,1.0,60.0
55376d5c205fa844,15,blue,Saimon Oliveira,278.0,0.0,0.0,14.0,6.0,1.0,0.0,3.0,3.0,2.0,1.0,60.0
55376d5c205fa844,16,red,David Martinez,278.0,0.0,0.0,35.0,16.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0
55376d5c205fa844,16,blue,Saimon Oliveira,278.0,0.0,0.0,21.0,10.0,6.0,5.0,13.0,9.0,0.0,0.0,0.0
55376d5c205fa844,17,red,David Martinez,278.0,0.0,0.34691981087755475,29.0,7.0,0.0,0.0,3.0,1.0,1.0,1.0,90.0
